time, lone, latg, alti, altia, vimag, vrmag, loneip, latgip, tgo, path, azih, pati, alph, beta, thep, psip, eu_r1, eu_r2, eu_i1, eu_i2, inc, ha, hp, aorb, ta, mach, dp, thru, drag, ab, massLV, drng, drngi, delv0, delv1, delv2, delv3, delv4, plon, diip0, diip1, diip2, diip3
    0.1000000,  127.5363300,   34.4318200,    0.1381730,    0.1381730,    0.3836236,    0.0002204,  127.5363303,   34.4318179,    5.3396513,   89.5887805, -179.8212633,    0.0329151,    0.4048075,    0.0723289,   90.0000000,    0.0000000,   89.9996554,  -89.9997655,   90.0000000,    0.0000000,   34.4318200,    0.1381755,-6370.6179883, 3192.8970936,  179.9999223,    0.0006487,    0.0000294,  652.6974882,    0.0000323,    1.2217659,54475.8337584,    0.0000000,    0.0002688,    0.0011975,    0.0000000,    0.0000003,    0.0001664,    0.0013642,   37.5363300,    0.0007958,    0.2309439,   -0.0000010,   -0.0000000
    0.2000000,  127.5363300,   34.4318200,    0.1382061,    0.1382061,    0.3836238,    0.0004413,  127.5363303,   34.4318178,    5.3630349,   89.5892961, -179.6423826,    0.0659137,    0.4041315,    0.0731584,   90.0000000,    0.0000000,   89.9993108,  -89.9995284,   90.0000000,    0.0000000,   34.4318200,    0.1382161,-6370.6179887, 3192.8971137,  179.9998444,    0.0012990,    0.0001177,  652.6978448,    0.0001295,    1.2223372,54450.3975168,    0.0000000,    0.0002688,    0.0023949,    0.0000000,    0.0000011,    0.0003328,    0.0027291,   37.5363300,    0.0008158,    0.2367314,   -0.0000010,   -0.0000000
    0.3000000,  127.5363300,   34.4318200,    0.1382613,    0.1382613,    0.3836240,    0.0006628,  127.5363303,   34.4318177,    5.3869981,   89.5898071, -179.4633426,    0.0989961,    0.4034566,    0.0739860,   90.0000000,    0.0000000,   89.9989662,  -89.9992919,   90.0000000,    0.0000000,   34.4318200,    0.1382838,-6370.6179894, 3192.8971472,  179.9997663,    0.0019509,    0.0002656,  652.6984399,    0.0002921,    1.2229093,54424.9612752,    0.0000950,    0.0002688,    0.0035922,    0.0000000,    0.0000025,    0.0004993,    0.0040946,   37.5363300,    0.0008358,    0.2425346,   -0.0000010,   -0.0000000
    0.4000000,  127.5363300,   34.4318200,    0.1383387,    0.1383387,    0.3836245,    0.0008849,  127.5363303,   34.4318176,    5.4115423,   89.5903134, -179.2841491,    0.1321622,    0.4027827,    0.0748118,   90.0000000,    0.0000000,   89.9986216,  -89.9990555,   90.0000000,    0.0000000,   34.4318200,    0.1383787,-6370.6179904, 3192.8971942,  179.9996880,    0.0026045,    0.0004733,  652.6992741,    0.0005208,    1.2234822,54399.5250336,    0.0000000,    0.0002688,    0.0047893,    0.0000000,    0.0000045,    0.0006659,    0.0054607,   37.5363300,    0.0008558,    0.2483522,   -0.0000010,   -0.0000000
    0.5000000,  127.5363300,   34.4318200,    0.1384383,    0.1384383,    0.3836250,    0.0011075,  127.5363303,   34.4318175,    5.4366690,   89.5908150, -179.1048057,    0.1654122,    0.4021099,    0.0756356,   90.0000000,    0.0000000,   89.9982770,  -89.9988191,   90.0000000,    0.0000000,   34.4318200,    0.1385010,-6370.6179917, 3192.8972547,  179.9996095,    0.0032598,    0.0007414,  652.7003479,    0.0008159,    1.2240560,54374.0887919,    0.0001344,    0.0003005,    0.0059864,    0.0000000,    0.0000071,    0.0008326,    0.0068275,   37.5363300,    0.0008759,    0.2541828,   -0.0000011,   -0.0000000
    0.6000000,  127.5363300,   34.4318200,    0.1385602,    0.1385602,    0.3836257,    0.0013307,  127.5363303,   34.4318174,    5.4623793,   89.5913119, -178.9253160,    0.1987463,    0.4014382,    0.0764575,   90.0000000,    0.0000000,   89.9979324,  -89.9985829,   90.0000000,    0.0000000,   34.4318200,    0.1386508,-6370.6179933, 3192.8973288,  179.9995309,    0.0039167,    0.0010703,  652.7016620,    0.0011781,    1.2246307,54348.6525503,    0.0000000,    0.0003005,    0.0071833,    0.0000000,    0.0000102,    0.0009993,    0.0081949,   37.5363300,    0.0008960,    0.2600247,   -0.0000011,   -0.0000000
    0.7000000,  127.5363300,   34.4318200,    0.1387045,    0.1387045,    0.3836265,    0.0015545,  127.5363303,   34.4318173,    5.4886743,   89.5918042, -178.7456832,    0.2321645,    0.4007675,    0.0772775,   90.0000000,    0.0000000,   89.9975877,  -89.9983466,   90.0000000,    0.0000000,   34.4318200,    0.1388281,-6370.6179951, 3192.8974165,  179.9994520,    0.0045753,    0.0014605,  652.7032170,    0.0016078,    1.2252062,54323.2163087,    0.0001344,    0.0003292,    0.0083800,    0.0000000,    0.0000139,    0.0011661,    0.0095629,   37.5363300,    0.0009162,    0.2658765,   -0.0000011,   -0.0000000
    0.8000000,  127.5363300,   34.4318200,    0.1388711,    0.1388711,    0.3836274,    0.0017788,  127.5363303,   34.4318172,    5.5155548,   89.5922917, -178.5659108,    0.2656668,    0.4000979,    0.0780956,   90.0000000,    0.0000000,   89.9972431,  -89.9981103,   90.0000000,    0.0000000,   34.4318200,    0.1390330,-6370.6179972, 3192.8975179,  179.9993729,    0.0052356,    0.0019124,  652.7050135,    0.0021057,    1.2257826,54297.7800671,    0.0000950,    0.0003152,    0.0095767,    0.0000000,    0.0000181,    0.0013330,    0.0109316,   37.5363300,    0.0009364,    0.2717365,   -0.0000011,   -0.0000000
    0.9000000,  127.5363300,   34.4318199,    0.1390602,    0.1390602,    0.3836284,    0.0020037,  127.5363303,   34.4318171,    5.5430218,   89.5927746, -178.3860020,    0.2992536,    0.3994293,    0.0789117,   90.0000000,    0.0000000,   89.9968985,  -89.9978740,   90.0000000,    0.0000000,   34.4318200,    0.1392656,-6370.6179996, 3192.8976330,  179.9992936,    0.0058975,    0.0024265,  652.7070521,    0.0026722,    1.2263599,54272.3438255,    0.0000950,    0.0003292,    0.0107732,    0.0000000,    0.0000229,    0.0015000,    0.0123010,   37.5363300,    0.0009566,    0.2776034,   -0.0000012,   -0.0000001
    1.0000000,  127.5363300,   34.4318199,    0.1392719,    0.1392719,    0.3836296,    0.0022292,  127.5363303,   34.4318169,    5.5710757,   89.5932529, -178.2059602,    0.3329247,    0.3987618,    0.0797260,   90.0000000,    0.0000000,   89.9965539,  -89.9976378,   90.0000000,    0.0000000,   34.4318200,    0.1395260,-6370.6180023, 3192.8977619,  179.9992141,    0.0065611,    0.0030032,  652.7093333,    0.0033079,    1.2269380,54246.9075839,    0.0000950,    0.0003427,    0.0119695,    0.0000000,    0.0000283,    0.0016670,    0.0136709,   37.5363300,    0.0009768,    0.2834755,   -0.0000012,   -0.0000001
